Brand,Model,Price,Year,Mileage,Transmission type,Fuel type,Location,Link,Posted On
Nissan,N7,"1,550,000 EGP",2025,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/nissan/n7/unit/7234665,2026-06-18
Jeep,Grand Cherokee,"4,400,000 EGP",2024,"23,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7099149,2026-06-18
Hyundai,Tucson GDI,"1,750,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/hyundai/Tucson-GDI/unit/7214654,2026-06-18
Jeep,Grand Cherokee,"2,850,000 EGP",2022,"128,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7150497,2026-06-18
Mercedes,GLS,"6,300,000 EGP",2023,"62,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/mercedes/GLS/7234662,2026-06-18
Forthing,S7,"1,425,000 EGP",2027,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/forthing/Forthing-S7/unit/7234660,2026-06-18
BMW,X5,"6,700,000 EGP",2024,"8,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/bmw/x5/7234659,2026-06-18
Kia,Carens,"690,000 EGP",2012,"211,000 KM",Automatic,Gas,"Helwan, Cairo",https://eg.hatla2ee.com/en/car/kia/carens/7234657,2026-06-18
Peugeot,3008,"730,000 EGP",2017,"180,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/peugeot/3008/7228492,2026-06-18
Opel,Grandland,"850,000 EGP",2019,"236,400 KM",Automatic,Gas,Sharqia,https://eg.hatla2ee.com/en/car/opel/Grandland/7234656,2026-06-18
Opel,Grandland,"850,000 EGP",2019,"236,400 KM",Automatic,Gas,Sharqia,https://eg.hatla2ee.com/en/car/opel/Grandland/7234656,2026-06-18
Mercedes,GLC 200,"5,500,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/GLC-200/unit/7234658,2026-06-18
Byd,L3,"520,000 EGP",2022,"255,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/byd/l3/7234257,2026-06-18
Speranza,Tiggo,"310,000 EGP",2011,"211,000 KM",Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/speranza/tiggo/7234643,2026-06-18
Fiat,Regata,"60,000 EGP",1987,"200,000 KM",Manual,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/fiat/regata/7234652,2026-06-18
Skoda,Kodiaq,"2,560,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/skoda/kodiaq/unit/7204736,2026-06-18
Chevrolet,Lanos,"320,000 EGP",2013,0 KM,Manual,Diesel,Alexandria,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7234642,2026-06-18
Chevrolet,Lanos,"395,000 EGP",2015,"180,000 KM",Manual,Gas,Sharqia,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7234630,2026-06-18
Chevrolet,T-Series,"250,000 EGP",1996,0 KM,Manual,Natural Gas,Cairo,https://eg.hatla2ee.com/en/car/chevrolet/T-Series/7234645,2026-06-18
BMW,318,"1,050,000 EGP",2018,"205,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/bmw/318/7234646,2026-06-18
Peugeot,3008,"2,370,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/peugeot/3008/unit/7204744,2026-06-18
Volkswagen,Tayron,"2,900,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/volks-wagen/tayron/unit/7218287,2026-06-18
Speranza,A516,"235,000 EGP",2007,"225,000 KM",Manual,Diesel,"Dikirnis, Dakahlia",https://eg.hatla2ee.com/en/car/speranza/a516/7234634,2026-06-18
MG,5,"770,000 EGP",2021,"15,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7234639,2026-06-18
Skoda,Superb,"1,750,000 EGP",2021,"100,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/skoda/superb/7234572,2026-06-18
Chery,Tiggo 7,"550,000 EGP",2026,"35,000 KM",Automatic,Diesel,Sharqia,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/7234629,2026-06-18
Land Rover,Range Rover Vogue,"11,500,000 EGP",2024,"40,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/land-rover/vogue/7234635,2026-06-18
Hyundai,Creta,"1,100,000 EGP",2019,"83,000 KM",Automatic,Diesel,Cairo,https://eg.hatla2ee.com/en/car/hyundai/creta/7234631,2026-06-18
Chery,Arrizo 5,"500,000 EGP",2021,"360,000 KM",Manual,Natural Gas,"Zagazig, Sharqia",https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7234627,2026-06-18
Renault,Megane,"345,000 EGP",2005,"170,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/renault/megane/7209267,2026-06-18
Kia,Sorento,"1,470,000 EGP",2020,"173,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/kia/sorento/7209183,2026-06-18
BMW,520,"4,550,000 EGP",2026,"20,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/bmw/520/7234628,2026-06-18
Kia,Sportage,"2,325,000 EGP",2026,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/kia/sportage/unit/7207141,2026-06-18
Baic,U5 plus,"925,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/baic/U5-plus/unit/7207040,2026-06-18
Nissan,Sunny,"400,000 EGP",2015,"200,000 KM",Automatic,Diesel,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/car/nissan/sunny/7234621,2026-06-18
Jac,J7,"990,000 EGP",2025,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/jac/J7/unit/7207031,2026-06-18
Jac,JS8 PRO,"1,245,000 EGP",2026,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/jac/JS8+PRO/unit/7217678,2026-06-18
Audi,Q7,"2,725,000 EGP",2019,"97,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/audi/q7/7234622,2026-06-18
Avatr,12,"3,300,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/avatr/avatr-12/unit/7234619,2026-06-18
Seat,Ibiza,"1,210,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/seat/ibiza/unit/7221047,2026-06-18
Cupra,Terramar,"2,340,000 EGP",2026,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/cupra/Terramar/unit/7207147,2026-06-18
Volkswagen,Passat,"650,000 EGP",2006,"275,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/volks-wagen/passat/7167597,2026-06-18
Mercedes,GLA 180,"2,990,000 EGP",2026,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/GLA-180/unit/7207149,2026-06-18
Mercedes,Viano,"6,050,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/Viano/unit/7209155,2026-06-18
Audi,Q7,"4,000,000 EGP",2022,"20,000 KM",Automatic,Gas,"Shubra, Cairo",https://eg.hatla2ee.com/en/car/audi/q7/7234615,2026-06-18
Nissan,Sentra,"580,000 EGP",2017,"310,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/nissan/sentra/7234614,2026-06-18
